year,coal_twh,solar_twh,demand_twh
2000,600,1.0,800
2001,603,2.0,812
2002,606,3.8,824
2003,609,6.2,836
2004,612,9.0,848
2005,615,12.2,860
2006,618,15.7,872
2007,621,19.5,884
2008,624,23.6,896
2009,627,28.0,908
2010,630,32.6,920
2011,633,37.5,932
2012,636,42.6,944
2013,639,47.9,956
2014,642,53.4,968
2015,645,59.1,980
2016,648,65.0,992
2017,651,71.1,1004
2018,654,77.4,1016
2019,657,83.8,1028
2020,660,90.4,1040
2021,663,97.2,1052
2022,666,104.2,1064
2023,669,111.3,1076
2024,672,118.6,1088
2025,675,126.0,1100
